taxo_id,specie,blast_name,genbank_common_name,accession_number,mtDNA
8945,Eudynamys scolopaceus,birds,Asian koel,NC_060520,https://www.ncbi.nlm.nih.gov/nucleotide/NC_060520.1
7460,Apis mellifera,Bees,honey bee,NC_051932,https://www.ncbi.nlm.nih.gov/nucleotide/NC_051932.1
36300,Pelecanus crispus,birds,Dalmatian pelican,OR620163,https://www.ncbi.nlm.nih.gov/nuccore/OR620163.1
10116,Rattus norvegicus,Rodents,Norway rat,NC_001665,https://www.ncbi.nlm.nih.gov/nuccore/NC_001665
9031,Gallus gallus,birds,Gallus gallus,NC_006088,https://www.ncbi.nlm.nih.gov/nuccore/NC_053523.1
59463,Myotis lucifugus,bats,little brown bat,NC_029849,https://www.ncbi.nlm.nih.gov/nuccore/NC_029849.1
7070,Tribolium castaneum,Insects,Tribolium castaneum,NC_003081,https://www.ncbi.nlm.nih.gov/nuccore/NC_003081
8845,Anser cygnoides,birds,Swan goose,NC_023832,https://www.ncbi.nlm.nih.gov/nucleotide/NC_023832.1
56079,Ovis aries,sheep,even-toed ungulates,NC_001941,https://www.ncbi.nlm.nih.gov/nuccore/NC_001941
8976,Struthio camelus,birds,Struthio camelus,NC_002785,https://www.ncbi.nlm.nih.gov/nuccore/NC_002785
56313,Tyto alba,birds,common barn owl,MZ318036,https://www.ncbi.nlm.nih.gov/nuccore/MZ318036.1
7227,Drosophila melanogaster,flies,fruit fly,NC_004354,https://www.ncbi.nlm.nih.gov/nuccore/NC_004354
8822,Apteryx australis,birds,Southern brown kiwi,MN356385,https://www.ncbi.nlm.nih.gov/nuccore/MN356385.1
92683,Spheniscus demersus,birds,jackass penguin,NC_022817,https://www.ncbi.nlm.nih.gov/nucleotide/NC_022817.1
37347,Corvus brachyrhynchos,birds,American crow,NC_026461,https://www.ncbi.nlm.nih.gov/nucleotide/NC_026461.1
10090,Mus musculus,rodents,house mouse,NC_005089,https://www.ncbi.nlm.nih.gov/nuccore/NC_005089
8790,Dromaius novaehollandiae,birds,emu,NC_002784,https://www.ncbi.nlm.nih.gov/nuccore/NC_002784
8839,Anas platyrhynchos,birds,mallard,NC_009684,https://www.ncbi.nlm.nih.gov/nuccore/NC_009684
132908,Pteropus vampyrus,bats,large flying fox,NC_021423,https://www.ncbi.nlm.nih.gov/nuccore/NC_008371
8801,Struthio camelus,birds,African ostrich,NC_002785,https://www.ncbi.nlm.nih.gov/nuccore/NC_002785
193005,Aquila nipalensis,hawks & eagles,steppe eagle,NC_045042,https://www.ncbi.nlm.nih.gov/nuccore/NC_045042.1
219595,Cygnus cygnus,birds,common whooper,NC_027095,https://www.ncbi.nlm.nih.gov/nucleotide/NC_027095.1
59729,Taeniopygia guttata,birds,zebra finch,NC_007897,https://www.ncbi.nlm.nih.gov/nucleotide/NC_007897.1
9233,Aptenodytes forsteri,birds,emperor penguin,NC_027938,https://www.ncbi.nlm.nih.gov/nucleotide/NC_027938.1
9689,Panthera leo,,lion,NC_028302.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_028302.1
9783,Elephas maximus,,Asiatic elephant,LC789924.1,https://www.ncbi.nlm.nih.gov/nuccore/LC789924.1
9615,Canis lupus familiaris,,gray wolf,OR047611.1,https://www.ncbi.nlm.nih.gov/nuccore/OR047611.1
9646,Ailuropoda melanoleuca,,giant panda,OQ108866.1,https://www.ncbi.nlm.nih.gov/nuccore/OQ108866.1
32536,Acinonyx jubatus,,cheetah,OR830023.1,https://www.ncbi.nlm.nih.gov/nuccore/OR830023.1
9595,Gorilla gorilla gorilla,,western gorilla,NC_011120.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_011120.1
9627,Vulpes vulpes,,red fox,OM001544.1,https://www.ncbi.nlm.nih.gov/nuccore/OM001544.1
9733,Orcinus orca,,killer whale,OR661229.1,https://www.ncbi.nlm.nih.gov/nuccore/OR661229.1
52644,Haliaeetus leucocephalus,,bald eagle,ON158876.1,https://www.ncbi.nlm.nih.gov/nuccore/ON158876.1
9669,Mustela putorius furo,,domestic ferret,OQ535638.1,https://www.ncbi.nlm.nih.gov/nuccore/OQ535638.1
37010,Pan troglodytes schweinfurthii,,chimpanzee,OQ813755.1,https://www.ncbi.nlm.nih.gov/nuccore/OQ813755.1
