sample_id,social_settting,study_group,tissue_id
GSM6175777,NF,L,HY3
GSM6175778,NF,S,HY4  
GSM6175779,ISO,S,HY5
GSM6175780,ISO,L,HY6
GSM6175781,ISO,L,HY8
GSM6175782,ISO,L,HY9
GSM6175783,ISO,S,HY12
GSM6175784,ISO,S,HY13
GSM6175785,ISO,L,HY14
GSM6175786,ISO,L,HY16
GSM6175787,NF,L,HY19
GSM6175788,NF,S,HY20
GSM6175789,NF,L,HY24
GSM6175790,NF,S,HY28
GSM6175791,KF,L,HY30
GSM6175792,KF,S,HY31
GSM6175793,KF,L,HY32
GSM6175794,KF,L,HY33
GSM6175795,KF,S,HY34
GSM6175796,KF,L,HY35
GSM6175797,KF,S,HY36
GSM6175798,NF,S,HY37
GSM6175799,NF,S,HY39
GSM6175800,KF,L,HY41
GSM6175801,KF,S,HY42
GSM6175802,KF,S,HY44
GSM6175803,KF,S,HY47
GSM6175804,KF,L,HY48
GSM6175805,ISO,S,HY50
GSM6175806,ISO,S,HY52
GSM6175807,ISO,S,HY53
GSM6175808,ISO,L,HY56
GSM6175809,NF,L,HY57
GSM6175810,NF,S,HY58
GSM6175811,NF,L,HY59
GSM6175812,KFC,S,HY62
GSM6175813,KFC,S,HY63
GSM6175814,KFC,L,HY64
GSM6175815,KFC,L,HY65
GSM6175816,KFC,S,HY66
GSM6175817,KFC,L,HY67
GSM6175818,KFC,S,HY68
GSM6175819,KFC,L,HY69
GSM6175820,KFC,S,HY70
GSM6175821,KFC,L,HY71
GSM6175822,NF,L,NST3
GSM6175823,NF,S,NST4
GSM6175824,ISO,S,NST5
GSM6175825,ISO,L,NST6
GSM6175826,ISO,L,NST8
GSM6175827,ISO,L,NST9
GSM6175828,ISO,S,NST12
GSM6175829,ISO,S,NST13
GSM6175830,ISO,L,NST14
GSM6175831,ISO,L,NST16
GSM6175832,NF,L,NST19
GSM6175833,NF,S,NST20
GSM6175834,NF,L,NST24  
GSM6175835,NF,L,NST27
GSM6175836,NF,S,NST28
GSM6175837,KF,L,NST30
GSM6175838,KF,S,NST31
GSM6175839,KF,L,NST32
GSM6175840,KF,L,NST33
GSM6175841,KF,S,NST34
GSM6175842,KF,L,NST35
GSM6175843,KF,S,NST36
GSM6175844,NF,S,NST37
GSM6175845,NF,S,NST39
GSM6175846,KF,L,NST41
GSM6175847,KF,S,NST42
GSM6175848,KF,S,NST44
GSM6175849,KF,S,NST47
GSM6175850,KF,L,NST48
GSM6175851,ISO,S,NST50
GSM6175852,ISO,S,NST52
GSM6175853,ISO,S,NST53
GSM6175854,ISO,L,NST56
GSM6175855,NF,L,NST57
GSM6175856,NF,S,NST58
GSM6175857,NF,L,NST59
GSM6175858,KFC,S,NST62
GSM6175859,KFC,S,NST63
GSM6175860,KFC,L,NST64
GSM6175861,KFC,L,NST65
GSM6175862,KFC,S,NST66
GSM6175863,KFC,L,NST67
GSM6175864,KFC,S,NST68
GSM6175865,KFC,L,NST69
GSM6175866,KFC,S,NST70
GSM6175867,KFC,L,NST71
GSM6175868,NF,S,TN4
GSM6175869,ISO,S,TN5 
GSM6175870,ISO,L,TN6
GSM6175871,ISO,L,TN8
GSM6175872,ISO,L,TN9
GSM6175873,ISO,S,TN12
GSM6175874,ISO,S,TN13
GSM6175875,ISO,L,TN14
GSM6175876,ISO,L,TN16
GSM6175877,NF,L,TN19
GSM6175878,NF,S,TN20
GSM6175879,NF,L,TN24
GSM6175880,NF,L,TN27
GSM6175881,KF,L,TN30
GSM6175882,KF,S,TN31
GSM6175883,KF,L,TN32
GSM6175884,KF,L,TN33
GSM6175885,KF,S,TN34
GSM6175886,KF,L,TN35
GSM6175887,KF,S,TN36
GSM6175888,NF,S,TN37
GSM6175889,NF,S,TN39
GSM6175890,KF,L,TN41
GSM6175891,KF,S,TN42
GSM6175892,KF,S,TN44
GSM6175893,KF,S,TN47
GSM6175894,KF,L,TN48
GSM6175895,ISO,S,TN50
GSM6175896,ISO,S,TN52
GSM6175897,ISO,S,TN53
GSM6175898,ISO,L,TN56
GSM6175899,NF,S,TN58
GSM6175900,NF,L,TN59
GSM6175901,KFC,S,TN62
GSM6175902,KFC,S,TN63
GSM6175903,KFC,L,TN64
GSM6175904,KFC,L,TN65
GSM6175905,KFC,S,TN66
GSM6175906,KFC,L,TN67
GSM6175907,KFC,S,TN68
GSM6175908,KFC,L,TN69
GSM6175909,KFC,S,TN70
GSM6175910,KFC,L,TN71
